ONS code,Planning authority,Dwellings,"Offices, research and development, light industry","General industry, storage, warehousing","Retail
and
service",Traveller pitches,All other major and minor developments,Change of Use,Householder developments,Advertisements,Listed building consents (to alter/extend),listed building consents (to demolish),Conservation area consents,Total,Enforcement Notices issued,Stop Notices issued,Temporary Stop Notices issued,Breach of Condition Notices served,Planning Contravention Notices served ,Enforcement injunctions granted by High Court or County Court,Enforcement injunctions refused by High Court or County Court    ,Year
E09000029,Sutton,217,4,0,14,0,239,35,847,66,20,1,0,"1,443",5,0,0,1,0,0,0,2015
E09000030,Tower Hamlets,359,46,3,102,0,203,110,303,240,182,0,0,"1,548",17,0,0,1,1,0,0,2015
E09000031,Waltham Forest,470,1,3,22,0,166,63,640,51,2,0,0,"1,418",12,3,0,0,4,0,0,2015
E09000032,Wandsworth,"1,231",34,8,121,0,119,61,"1,644",201,48,2,1,"3,470",44,0,0,3,17,0,0,2015
E09000033,Westminster,238,82,4,488,0,"2,123",418,532,"1,188","1,925",7,1,"7,006",141,0,0,3,222,0,0,2015
NaN,England,"67,028","2,632","3,016","6,525",256,"64,522","22,239","219,663","22,313","30,861",424,133,"439,612","4,400",141,208,698,"4,812",49,6,2016
NaN,London boroughs,"11,931",628,216,"1,941",3,"13,724","2,810","37,027","5,513","5,506",49,6,"79,354","1,775",25,43,112,"1,255",2,0,2016
E09000002,Barking and Dagenham,92,5,15,36,0,102,51,655,74,6,4,0,"1,040",77,0,0,8,0,0,0,2016
E09000003,Barnet,589,11,1,3,0,658,68,"2,086",133,109,1,0,"3,659",91,0,1,0,12,0,0,2016
E09000004,Bexley,194,8,15,69,1,128,77,"1,374",97,8,0,0,"1,971",2,0,0,0,11,0,0,2016
E09000005,Brent,310,11,20,105,0,605,58,"1,307",129,12,1,0,"2,558",181,0,0,2,97,0,0,2016
E09000006,Bromley,291,0,3,10,0,635,96,"2,155",138,29,1,0,"3,358",20,0,0,3,15,0,0,2016
E09000007,Camden,753,103,3,146,0,371,110,443,318,583,6,1,"2,837",21,0,0,1,10,0,0,2016
E09000001,City of London,3,83,1,34,0,97,60,0,134,154,0,0,566,0,0,0,0,0,0,0,2016
E09000008,Croydon,640,17,2,110,0,321,95,"1,466",166,17,1,0,"2,835",5,0,1,0,0,0,0,2016
E09000009,Ealing,481,16,42,66,0,581,49,"1,346",157,35,2,0,"2,775",110,1,3,2,114,0,0,2016
E09000010,Enfield,332,1,8,6,0,498,97,"1,192",98,16,2,0,"2,250",39,0,6,2,41,0,0,2016
E09000011,Greenwich,115,0,1,0,0,398,86,865,126,113,1,0,"1,705",6,0,0,0,7,0,0,2016
E09000012,Hackney,221,20,0,15,0,582,105,538,123,80,0,0,"1,684",38,0,0,4,0,0,0,2016
E09000013,Hammersmith and Fulham,382,17,0,49,0,222,93,"1,581",129,51,0,1,"2,525",39,0,0,0,22,0,0,2016
E09000014,Haringey,317,2,4,37,0,219,101,"1,416",111,41,2,0,"2,250",145,0,2,12,76,0,0,2016
E09000015,Harrow,260,19,11,43,0,213,39,"1,410",71,30,0,0,"2,096",11,0,0,0,0,0,0,2016
E09000016,Havering,241,6,17,13,1,173,81,"1,317",80,12,1,2,"1,944",127,1,1,1,3,1,0,2016
E09000017,Hillingdon,291,5,11,41,0,227,49,"1,698",106,36,0,0,"2,464",45,0,0,3,44,0,0,2016
E09000018,Hounslow,226,20,17,47,0,334,55,"1,234",129,64,0,0,"2,126",48,0,3,3,92,0,0,2016
E09000019,Islington,560,87,7,86,0,253,54,482,223,328,3,0,"2,083",40,0,1,10,10,0,0,2016
E09000020,Kensington and Chelsea,877,5,1,128,0,278,204,"1,336",177,711,1,0,"3,718",63,0,14,15,5,0,0,2016
E09000021,Kingston upon Thames,222,1,1,8,1,180,45,"1,136",106,19,3,0,"1,722",0,0,0,0,0,0,0,2016
E09000022,Lambeth,257,3,1,1,0,678,115,"1,358",245,162,7,1,"2,828",31,0,0,6,11,0,0,2016
E09000023,Lewisham,267,4,5,4,0,645,58,756,126,42,0,0,"1,907",40,0,0,0,39,0,0,2016
E09000024,Merton,287,1,2,4,0,216,32,"1,255",117,28,1,0,"1,943",10,0,0,0,2,0,0,2016
E09000025,Newham,177,2,3,3,0,408,58,597,83,11,0,0,"1,342",278,22,8,1,139,0,0,2016
E09000026,Redbridge,109,0,0,0,0,195,65,"1,395",88,15,0,0,"1,867",20,0,0,23,3,0,0,2016
E09000027,Richmond upon Thames,164,8,1,21,0,991,47,"1,775",96,107,0,1,"3,211",9,0,0,0,0,0,0,2016
E09000028,Southwark,618,26,5,78,0,312,121,741,198,227,1,0,"2,327",32,0,1,0,180,1,0,2016
E09000029,Sutton,245,5,1,1,0,232,41,947,87,20,0,0,"1,579",18,0,0,0,0,0,0,2016
E09000030,Tower Hamlets,342,64,3,70,0,220,109,229,191,208,1,0,"1,437",46,0,0,4,0,0,0,2016
E09000031,Waltham Forest,537,4,1,21,0,227,62,670,74,8,0,0,"1,604",32,1,2,2,40,0,0,2016
E09000032,Wandsworth,"1,310",22,11,112,0,114,63,"1,631",210,37,3,0,"3,513",22,0,0,1,11,0,0,2016
E09000033,Westminster,221,52,3,574,0,"2,411",366,636,"1,173","2,187",7,0,"7,630",129,0,0,9,271,0,0,2016
NaN,England,"66,203","2,482","2,807","5,579",303,"63,312","22,247","219,417","19,225","29,424",364,117,"431,480","4,273",100,249,759,"4,802",56,1,2017
NaN,London boroughs,"11,540",632,169,"1,591",3,"13,080","2,743","35,558","4,461","4,783",28,3,"74,591","1,650",19,48,141,"1,416",5,0,2017
E09000002,Barking and Dagenham,109,4,6,22,0,89,56,654,60,3,0,0,"1,003",83,1,1,12,1,0,0,2017
E09000003,Barnet,694,7,1,1,0,669,103,"2,069",125,103,0,1,"3,773",200,0,1,6,36,0,0,2017
E09000004,Bexley,171,16,11,39,0,83,75,"1,414",50,9,0,0,"1,868",4,0,0,0,11,0,0,2017
E09000005,Brent,474,12,31,63,0,501,78,"1,218",121,13,0,0,"2,511",169,0,0,4,66,2,0,2017
E09000006,Bromley,228,2,5,1,0,653,62,"2,175",97,33,3,0,"3,259",35,0,0,3,2,0,0,2017
E09000007,Camden,602,115,4,99,0,328,113,435,217,458,4,0,"2,375",18,0,0,0,3,0,0,2017
E09000001,City of London,3,73,1,31,0,98,69,4,138,157,0,0,574,0,0,0,0,34,0,0,2017
E09000008,Croydon,576,8,6,47,0,337,79,"1,311",78,16,0,0,"2,458",6,0,0,3,1,0,0,2017
E09000009,Ealing,489,7,21,64,0,500,53,"1,238",68,42,6,0,"2,488",76,0,4,0,73,0,0,2017
E09000010,Enfield,401,6,5,10,0,423,93,"1,227",108,16,2,0,"2,291",18,3,1,4,131,0,0,2017
E09000011,Greenwich,131,0,1,1,0,340,68,884,97,74,2,0,"1,598",13,0,1,1,32,0,0,2017
E09000012,Hackney,264,18,1,12,0,681,92,547,144,68,1,0,"1,828",65,0,0,1,0,0,0,2017
E09000013,Hammersmith and Fulham,338,13,0,36,0,215,96,"1,267",114,47,0,1,"2,127",154,0,0,0,0,0,0,2017
E09000014,Haringey,198,9,8,3,0,420,85,"1,013",63,35,0,1,"1,835",77,0,5,6,95,0,0,2017
E09000015,Harrow,294,33,5,39,0,203,28,"1,403",43,26,0,0,"2,074",9,0,1,0,0,0,0,2017
E09000016,Havering,241,5,8,16,2,160,60,"1,277",58,8,0,0,"1,835",41,1,7,8,5,0,0,2017
E09000017,Hillingdon,334,9,2,32,0,216,70,"1,841",118,52,0,0,"2,674",52,2,2,5,43,0,0,2017
E09000018,Hounslow,239,20,17,44,0,352,77,"1,170",93,63,0,0,"2,075",57,0,1,1,97,0,0,2017
